model,use_reasoning,query_type,variant,n,k,hit_rate,boot_ci_lo,boot_ci_hi,cp_ci_lo,cp_ci_hi
gta1,False,direct_query,original,390,362,0.9282051282051282,0.9025641025641026,0.9538461538461539,0.8979061141107637,0.9517656210845499
gta1,False,direct_query,precision,390,353,0.9051282051282051,0.8743589743589744,0.9333333333333333,0.8716053489862547,0.9323198200937186
gta1,False,direct_query,style,390,360,0.9230769230769231,0.8948717948717949,0.9487179487179487,0.8920072469746116,0.9475008147082722
gta1,False,direct_query,text_shrink,390,362,0.9282051282051282,0.9025641025641026,0.9538461538461539,0.8979061141107637,0.9517656210845499
gta1,False,relational_query,original,390,267,0.6846153846153846,0.6384615384615384,0.7307692307692307,0.6359422538852633,0.7304594460503995
gta1,False,relational_query,precision,390,228,0.5846153846153846,0.5358974358974359,0.6333333333333333,0.533937274772577,0.6339993775222784
gta1,False,relational_query,style,390,261,0.6692307692307692,0.6230769230769231,0.7153846153846154,0.6201021646787099,0.7157671606284555
gta1,False,relational_query,text_shrink,390,257,0.658974358974359,0.6102564102564103,0.7051923076923068,0.6095732530114095,0.7059409761776934
gta1,True,direct_query,original,390,362,0.9282051282051282,0.9025641025641026,0.9512820512820512,0.8979061141107637,0.9517656210845499
gta1,True,direct_query,precision,390,343,0.8794871794871795,0.8461538461538461,0.9102564102564102,0.842981589972138,0.9100930843492444
gta1,True,direct_query,style,390,354,0.9076923076923077,0.8769230769230769,0.9358974358974359,0.8744990706701843,0.9345101504947787
gta1,True,direct_query,text_shrink,390,359,0.9205128205128205,0.8923076923076924,0.9461538461538461,0.889070431830655,0.9453552410816968
gta1,True,relational_query,original,390,246,0.6307692307692307,0.5820512820512821,0.676923076923077,0.5807424225126161,0.6787946692248772
gta1,True,relational_query,precision,390,223,0.5717948717948718,0.5230769230769231,0.6205128205128205,0.5210146606908481,0.621477190602449
gta1,True,relational_query,style,390,254,0.6512820512820513,0.6025641025641025,0.6974358974358974,0.6016925242965643,0.6985552981677976
gta1,True,relational_query,text_shrink,390,242,0.6205128205128205,0.5717948717948718,0.6666666666666666,0.5703021084066826,0.668879468105823
qwen25vl,False,direct_query,original,390,338,0.8666666666666667,0.8333333333333334,0.8974358974358975,0.8288519144260776,0.8987924646264858
qwen25vl,False,direct_query,precision,390,324,0.8307692307692308,0.7923076923076923,0.8666666666666667,0.7897959291182811,0.866632423331253
qwen25vl,False,direct_query,style,390,333,0.8538461538461538,0.8179487179487179,0.8871794871794871,0.8148238589458215,0.8873878472550737
qwen25vl,False,direct_query,text_shrink,390,341,0.8743589743589744,0.841025641025641,0.9051282051282051,0.8373167160115882,0.9055861630090153
qwen25vl,False,relational_query,original,390,166,0.4256410256410256,0.3769230769230769,0.47435897435897434,0.3760156808508075,0.47640350134786
qwen25vl,False,relational_query,precision,390,147,0.3769230769230769,0.3282051282051282,0.4256410256410256,0.32863958603304155,0.42708995017119633
qwen25vl,False,relational_query,style,390,171,0.43846153846153846,0.38974358974358975,0.48717948717948717,0.3885646856256862,0.48929935717774264
qwen25vl,False,relational_query,text_shrink,390,156,0.4,0.35384615384615387,0.44871794871794873,0.35101879691325805,0.45051090696844615
qwen25vl,True,direct_query,original,390,340,0.8717948717948718,0.8384615384615385,0.9025641025641026,0.8344908906533033,0.903325924069953
qwen25vl,True,direct_query,precision,390,328,0.841025641025641,0.8051282051282052,0.8769230769230769,0.8008864942872762,0.8758906406260032
qwen25vl,True,direct_query,style,390,323,0.8282051282051283,0.7897435897435897,0.8641025641025641,0.7870310200160804,0.8643099998393556
qwen25vl,True,direct_query,text_shrink,390,336,0.8615384615384616,0.8256410256410256,0.8948717948717949,0.8232291652725727,0.8942423997393155
qwen25vl,True,relational_query,original,390,185,0.47435897435897434,0.4256410256410256,0.5230769230769231,0.42387765062626104,0.5252322875639255
qwen25vl,True,relational_query,precision,390,166,0.4256410256410256,0.3769230769230769,0.47435897435897434,0.3760156808508075,0.47640350134786
qwen25vl,True,relational_query,style,390,179,0.45897435897435895,0.41025641025641024,0.5102564102564102,0.408712029100304,0.5098639135052149
qwen25vl,True,relational_query,text_shrink,390,173,0.44358974358974357,0.39487179487179486,0.49230769230769234,0.3935936017592466,0.4944484033553465
uitars15,False,direct_query,original,390,362,0.9282051282051282,0.9025641025641026,0.9538461538461539,0.8979061141107637,0.9517656210845499
uitars15,False,direct_query,precision,390,337,0.8641025641025641,0.8307692307692308,0.8974358974358975,0.8260385595357072,0.8965194576130163
uitars15,False,direct_query,style,390,355,0.9102564102564102,0.8794871794871795,0.9358974358974359,0.8773992962869483,0.9366937464388441
uitars15,False,direct_query,text_shrink,390,366,0.9384615384615385,0.9128205128205128,0.9615384615384616,0.909816826954481,0.960176840367032
uitars15,False,relational_query,original,390,115,0.2948717948717949,0.2512820512820513,0.34102564102564104,0.2500419888642836,0.34284706274865406
uitars15,False,relational_query,precision,390,93,0.23846153846153847,0.19487179487179487,0.28205128205128205,0.1970105141793524,0.28393280905121343
uitars15,False,relational_query,style,390,110,0.28205128205128205,0.23846153846153847,0.3282051282051282,0.23791071113682696,0.3295354569136434
uitars15,False,relational_query,text_shrink,390,118,0.30256410256410254,0.2564102564102564,0.3487179487179487,0.25734143539650184,0.3508134988336806
uitars15,True,direct_query,original,390,348,0.8923076923076924,0.8589743589743589,0.9230769230769231,0.8572267364250683,0.9212751886981656
uitars15,True,direct_query,precision,390,325,0.8333333333333334,0.7948717948717948,0.8692307692307693,0.7925638748545368,0.8689517574745239
uitars15,True,direct_query,style,390,336,0.8615384615384616,0.8256410256410256,0.8948717948717949,0.8232291652725727,0.8942423997393155
uitars15,True,direct_query,text_shrink,390,350,0.8974358974358975,0.8666666666666667,0.9256410256410257,0.862960979830769,0.9257107911763716
uitars15,True,relational_query,original,390,158,0.40512820512820513,0.3564102564102564,0.45384615384615384,0.3560072625302086,0.455700306910844
uitars15,True,relational_query,precision,390,138,0.35384615384615387,0.30512820512820515,0.4025641025641026,0.3063760029822205,0.4035538163964359
uitars15,True,relational_query,style,390,155,0.3974358974358974,0.3487179487179487,0.4461538461538462,0.34852663250751587,0.4479141449389198
uitars15,True,relational_query,text_shrink,390,155,0.3974358974358974,0.3487179487179487,0.4461538461538462,0.34852663250751587,0.4479141449389198
