model,use_reasoning,query_type,variant,n,k,hit_rate,boot_ci_lo,boot_ci_hi,cp_ci_lo,cp_ci_hi
25k_perturbed_1_epoch,False,direct_query,original,429,385,0.8974358974358975,0.8671328671328671,0.9254079254079254,0.8647635225007736,0.9244832087190984
25k_perturbed_1_epoch,False,direct_query,precision,429,368,0.8578088578088578,0.8251748251748252,0.8904428904428905,0.8211277164169446,0.8894580342699127
25k_perturbed_1_epoch,False,direct_query,style,429,376,0.8764568764568764,0.8461538461538461,0.9067599067599068,0.8415334343954067,0.9060722959676452
25k_perturbed_1_epoch,False,direct_query,text_shrink,429,382,0.8904428904428905,0.8601398601398601,0.9207459207459208,0.856984075734017,0.9183832649203684
25k_perturbed_1_epoch,False,relational_query,original,429,118,0.27505827505827507,0.2331002331002331,0.3170745920745912,0.2333149135064328,0.31993551573588963
25k_perturbed_1_epoch,False,relational_query,precision,429,102,0.23776223776223776,0.19813519813519814,0.2773892773892774,0.19824049110352082,0.2809435495103326
25k_perturbed_1_epoch,False,relational_query,style,429,116,0.2703962703962704,0.22843822843822845,0.3123543123543124,0.22890940710524024,0.31508254686166065
25k_perturbed_1_epoch,False,relational_query,text_shrink,429,108,0.2517482517482518,0.21212121212121213,0.2937062937062937,0.21134688254002834,0.2956116502226065
25k_perturbed_1_epoch,True,direct_query,original,429,374,0.8717948717948718,0.8391608391608392,0.9020979020979021,0.8364123939000521,0.9019387664677119
25k_perturbed_1_epoch,True,direct_query,precision,429,350,0.8158508158508159,0.7785547785547785,0.8508158508158508,0.7758699271240315,0.8514085818584267
25k_perturbed_1_epoch,True,direct_query,style,429,359,0.8368298368298368,0.8018648018648019,0.8717948717948718,0.7983970547198231,0.8705367737674189
25k_perturbed_1_epoch,True,direct_query,text_shrink,429,372,0.8671328671328671,0.8344988344988346,0.8997668997668997,0.8313048124541254,0.8977914784531017
25k_perturbed_1_epoch,True,relational_query,original,429,172,0.40093240093240096,0.3543123543123543,0.44755244755244755,0.3542145385197844,0.4490262869398049
25k_perturbed_1_epoch,True,relational_query,precision,429,144,0.3356643356643357,0.2913752913752914,0.37995337995337997,0.29108159283388413,0.3825323534807836
25k_perturbed_1_epoch,True,relational_query,style,429,166,0.38694638694638694,0.34032634032634035,0.43356643356643354,0.3406114183234848,0.4348519469556823
25k_perturbed_1_epoch,True,relational_query,text_shrink,429,167,0.38927738927738925,0.34265734265734266,0.4358974358974359,0.3428758568999641,0.4372170766827454
25k_salesforce_1_epoch,False,direct_query,original,429,385,0.8974358974358975,0.8671328671328671,0.9254079254079254,0.8647635225007736,0.9244832087190984
25k_salesforce_1_epoch,False,direct_query,precision,429,368,0.8578088578088578,0.8251748251748252,0.8904428904428905,0.8211277164169446,0.8894580342699127
25k_salesforce_1_epoch,False,direct_query,style,429,376,0.8764568764568764,0.8438228438228438,0.9067599067599068,0.8415334343954067,0.9060722959676452
25k_salesforce_1_epoch,False,direct_query,text_shrink,429,381,0.8881118881118881,0.8578088578088578,0.9184149184149184,0.8543993041875344,0.9163413457081576
25k_salesforce_1_epoch,False,relational_query,original,429,117,0.2727272727272727,0.23076923076923078,0.3146853146853147,0.2311114350202735,0.3175097510040205
25k_salesforce_1_epoch,False,relational_query,precision,429,101,0.23543123543123542,0.1958041958041958,0.2773892773892774,0.1960618134456522,0.27849319915943904
25k_salesforce_1_epoch,False,relational_query,style,429,115,0.2680652680652681,0.2261072261072261,0.31002331002331,0.22670884156606588,0.312653891769193
25k_salesforce_1_epoch,False,relational_query,text_shrink,429,108,0.2517482517482518,0.21212121212121213,0.2937062937062937,0.21134688254002834,0.2956116502226065
25k_salesforce_1_epoch,True,direct_query,original,429,373,0.8694638694638694,0.8368298368298368,0.8997668997668997,0.8338569588595386,0.8998668025787799
25k_salesforce_1_epoch,True,direct_query,precision,429,347,0.8088578088578089,0.7715617715617715,0.8461538461538461,0.7684012274216667,0.8449915826096436
25k_salesforce_1_epoch,True,direct_query,style,429,360,0.8391608391608392,0.8041958041958042,0.8717948717948718,0.800912056197286,0.8726499513429818
25k_salesforce_1_epoch,True,direct_query,text_shrink,429,372,0.8671328671328671,0.8344988344988346,0.8974358974358975,0.8313048124541254,0.8977914784531017
25k_salesforce_1_epoch,True,relational_query,original,429,175,0.40792540792540793,0.3613053613053613,0.45454545454545453,0.3610308180300822,0.45609877966981927
25k_salesforce_1_epoch,True,relational_query,precision,429,146,0.34032634032634035,0.29603729603729606,0.38461538461538464,0.29556087656733493,0.38731200669714994
25k_salesforce_1_epoch,True,relational_query,style,429,167,0.38927738927738925,0.34498834498834496,0.4358974358974359,0.3428758568999641,0.4372170766827454
