task_id,step_index,split,decision,variant,image_path,step_instruction,multi_element_instruction,target_coordinates,target_bounding_box,nearest_element_text,nearest_element_relative_position,nearest_element_tag,nearest_element_distance,nearest_element_bounding_box,Unnamed: 15
012446b3-ee30-480b-86ec-3a3cdeaba9dc,3,test_task_style,keep,original,run_20251112_005055_test_task_original/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_3_click.png,"Click on 'May 10th, 2023' button",Click on the button above 'May 17th 2023',"(679, 321)","[657, 300, 44, 42]",17,"[""above""]",div,44.0,"[658, 344, 42, 42]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,3,test_task_style,keep,precision,run_20251112_005206_test_task_precision/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_3_click.png,"Click on 'May 10th, 2023' button",Click on the button above 'May 17th 2023',"(763, 225)","[747.8953247070312, 210, 30.79998779296875, 29.399993896484375]",17,"[""above""]",div,30.7999954223633,"[748.5952758789062, 240.8000030517578, 29.4000244140625, 29.399978637695312]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,3,test_task_style,keep,style,run_20251112_005316_test_task_style/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_3_click.png,"Click on 'May 10th, 2023' button",Click on the button above 'May 17th 2023',"(679, 342)","[657, 320.71875, 44, 42]",17,"[""above""]",div,44.0,"[658, 365.5625, 42, 42]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,3,test_task_style,keep,text_shrink,run_20251113_005227_test_task_text_shrink/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_3_click.png,"Click on 'May 10th, 2023' button",Click on the button above 'May 17th 2023',"(672, 321)","[649.5, 300, 44, 42]",17,"[""above""]",div,44.0,"[650.5, 344, 42, 42]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,5,test_task_style,keep,original,run_20251112_005055_test_task_original/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_5_click.png,Click on 'Cooking' button,Click on the button to the left of 'Dance',"(1092, 540)","[1065.03125, 531.5, 53.28125, 17]",Dance,"[""left""]",span,87.21875,"[1158.3125, 531.5, 41.15625, 17]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,5,test_task_style,keep,precision,run_20251112_005206_test_task_precision/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_5_click.png,Click on 'Cooking' button,Click on the button to the left of 'Dance',"(1052, 385)","[1033.5172119140625, 378.6999816894531, 37.296875, 11.9000244140625]",Dance,"[""left""]",span,61.0530395507813,"[1098.81396484375, 378.70001220703125, 28.8094482421875, 11.899993896484375]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,5,test_task_style,keep,style,run_20251112_005316_test_task_style/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_5_click.png,Click on 'Cooking' button,Click on the button to the left of 'Dance',"(857, 540)","[831.484375, 531.0, 51.375, 18]",Dance,"[""left""]",span,85.921875,"[922.859375, 531.0, 40.46875, 18]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,5,test_task_style,keep,text_shrink,run_20251113_005227_test_task_text_shrink/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_5_click.png,Click on 'Cooking' button,Click on the button to the left of 'Dance',"(853, 540)","[826.625, 531.5, 53.28125, 17]",Dance,"[""left""]",span,87.21875,"[919.90625, 531.5, 41.15625, 17]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,7,test_task_style,keep,original,run_20251112_005055_test_task_original/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_7_click.png,Click on 'Group size' span,Click on the button to the right of 'May 10',"(287, 120)","[252.640625, 111, 69.125, 18]",No Filter applied,"[""near""]",span,9.51314879522022,"[287.203125, 129, 1, 1]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,7,test_task_style,keep,precision,run_20251112_005206_test_task_precision/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_7_click.png,Click on 'Group size' span,Click on the button to the right of 'May 10',"(489, 84)","[464.84375, 77.69999694824219, 48.38751220703125, 12.599998474121094]",No Filter applied,"[""near""]",span,6.65920519923994,"[489.0375061035156, 90.29999542236328, 0.699981689453125, 0.7000045776367188]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,7,test_task_style,keep,style,run_20251112_005316_test_task_style/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_7_click.png,Click on 'Group size' span,Click on the button to the right of 'May 10',"(315, 120)","[272.890625, 111.41498565673828, 84.015625, 17.99999237060547]",No Filter applied,"[""left""]",span,94.2116200368876,"[395.25, 121.5, 1, 1]",
012446b3-ee30-480b-86ec-3a3cdeaba9dc,7,test_task_style,keep,text_shrink,run_20251113_005227_test_task_text_shrink/012446b3-ee30-480b-86ec-3a3cdeaba9dc/screenshots/step_7_click.png,Click on 'Group size' span,Click on the button to the right of 'May 10',"(265, 120)","[236.453125, 111, 56.140625, 18]",No Filter applied,"[""near""]",span,9.51274137854889,"[264.515625, 129, 1, 1]",
039969ee-8f9a-4c49-9260-88267339e885,2,test_website_style,keep,original,run_20251112_005125_test_website_original/039969ee-8f9a-4c49-9260-88267339e885/screenshots/step_2_click.png,Click on the 'Book' button for 'Ibis Deira City Centre',Click on the button to the right of the 'Change' button for 'Ibis Deira City Centre',"(1479, 540)","[1447.078125, 521.0, 63.921875, 38]",,"[""above"", ""right""]",i,205.943425233661,"[1287.0625, 619.0, 11.5625, 18]",
039969ee-8f9a-4c49-9260-88267339e885,2,test_website_style,keep,precision,run_20251112_005233_test_website_precision/039969ee-8f9a-4c49-9260-88267339e885/screenshots/step_2_click.png,Click on the 'Book' button for 'Ibis Deira City Centre',Click on the button to the right of the 'Change' button for 'Ibis Deira City Centre',"(1323, 540)","[1300.949951171875, 526.7000122070312, 44.745361328125, 26.5999755859375]",,"[""above"", ""right""]",i,144.160356125659,"[1188.9390869140625, 595.2999877929688, 8.09375, 12.60003662109375]",
039969ee-8f9a-4c49-9260-88267339e885,2,test_website_style,keep,style,run_20251112_005341_test_website_style/039969ee-8f9a-4c49-9260-88267339e885/screenshots/step_2_click.png,Click on the 'Book' button for 'Ibis Deira City Centre',Click on the button to the right of the 'Change' button for 'Ibis Deira City Centre',"(1444, 540)","[1405.109375, 521.0, 77.890625, 38]",,"[""right""]",i,163.207054202641,"[1275.890625, 520.015625, 11.5625, 18]",
039969ee-8f9a-4c49-9260-88267339e885,2,test_website_style,keep,text_shrink,run_20251113_005230_test_website_text_shrink/039969ee-8f9a-4c49-9260-88267339e885/screenshots/step_2_click.png,Click on the 'Book' button for 'Ibis Deira City Centre',Click on the button to the right of the 'Change' button for 'Ibis Deira City Centre',"(1482, 540)","[1453.921875, 521.0, 57.078125, 38]",Book,"[""above""]",button,228.0,"[1453.921875, 749.0, 57.078125, 38]",
